"","rgn_id","area_km2","SID"
"561",4,23756,15598812
"562",1,105282,15598815
"563",2,49938,15598815
"564",3,59536,15598815
"565",4,42218,15598815
"566",5,1453,15598815
"567",6,6116,15598815
"568",7,3398,15598815
"569",8,2675,15598815
"570",9,180,15598815
"571",10,4395,15598815
"572",11,1119,15598815
"573",1,105282,15598887
"574",2,49938,15598887
"575",3,21449,15598887
"576",4,38535,15598887
"577",7,353,15598887
"578",8,1952,15598887
"579",1,105282,15598938
"580",2,49938,15598938
"581",3,59638,15598938
"582",4,42218,15598938
"583",5,1453,15598938
"584",6,6634,15598938
"585",7,3398,15598938
"586",8,2675,15598938
"587",9,180,15598938
"588",10,4395,15598938
"589",11,1119,15598938
"590",1,105282,15598948
"591",2,37311,15598948
"592",4,28465,15598948
"593",1,105282,15598951
"594",2,49938,15598951
"595",3,59638,15598951
"596",4,42218,15598951
"597",5,1453,15598951
"598",6,6545,15598951
"599",7,3398,15598951
"600",8,2675,15598951
"601",9,180,15598951
"602",10,4395,15598951
"603",11,1119,15598951
"604",1,105282,15598957
"605",2,48157,15598957
"606",3,1309,15598957
"607",4,42218,15598957
"608",5,1453,15598957
"609",8,1647,15598957
"610",10,4395,15598957
"611",11,989,15598957
"612",1,105282,15599060
"613",2,49938,15599060
"614",3,59638,15599060
"615",4,42218,15599060
"616",5,1453,15599060
"617",6,6675,15599060
"618",7,3398,15599060
"619",8,2675,15599060
"620",9,180,15599060
"621",10,4395,15599060
"622",11,1119,15599060
"623",1,45744,15599067
"624",1,105282,15599070
"625",2,49938,15599070
"626",3,49293,15599070
"627",4,42218,15599070
"628",5,1453,15599070
"629",6,282,15599070
"630",7,3398,15599070
"631",8,2675,15599070
"632",9,180,15599070
"633",10,4395,15599070
"634",11,1119,15599070
"635",1,105282,15599123
"636",2,49938,15599123
"637",3,19265,15599123
"638",4,42218,15599123
"639",5,1453,15599123
"640",7,2338,15599123
"641",8,2675,15599123
"642",10,4395,15599123
"643",11,1119,15599123
"644",1,105282,15599136
"645",2,49938,15599136
"646",3,59638,15599136
"647",4,42218,15599136
"648",5,1453,15599136
"649",6,6675,15599136
"650",7,3398,15599136
"651",8,2675,15599136
"652",9,180,15599136
"653",10,4383,15599136
"654",11,1119,15599136
"655",1,105282,15599150
"656",2,49938,15599150
"657",3,59638,15599150
"658",4,42218,15599150
"659",5,1453,15599150
"660",6,6675,15599150
"661",7,3398,15599150
"662",8,2675,15599150
"663",9,180,15599150
"664",10,4395,15599150
"665",11,1119,15599150
"666",1,105282,15600450
"667",2,49938,15600450
"668",3,59638,15600450
"669",4,42218,15600450
"670",5,1453,15600450
"671",6,6675,15600450
"672",7,3398,15600450
"673",8,2675,15600450
"674",9,180,15600450
"675",10,4395,15600450
"676",11,1119,15600450
"677",1,105282,15600453
"678",2,49938,15600453
"679",3,59638,15600453
"680",4,42218,15600453
"681",5,1453,15600453
"682",6,6675,15600453
"683",7,3398,15600453
"684",8,2675,15600453
"685",9,180,15600453
"686",10,4395,15600453
"687",11,1119,15600453
"688",1,105282,15600713
"689",2,49938,15600713
"690",3,59638,15600713
"691",4,42218,15600713
"692",5,1453,15600713
"693",6,6675,15600713
"694",7,3398,15600713
"695",8,2675,15600713
"696",9,180,15600713
"697",10,4395,15600713
"698",11,1119,15600713
"699",1,105282,15600727
"700",2,49925,15600727
"701",3,10095,15600727
"702",4,36046,15600727
"703",7,39,15600727
"704",8,1503,15600727
"705",1,105282,15600731
"706",2,49938,15600731
"707",3,59638,15600731
"708",4,42218,15600731
"709",5,1453,15600731
"710",6,6675,15600731
"711",7,3398,15600731
"712",8,2675,15600731
"713",9,180,15600731
"714",10,4395,15600731
"715",11,1119,15600731
"716",1,105282,15600738
"717",2,49938,15600738
"718",3,10078,15600738
"719",4,37261,15600738
"720",7,72,15600738
"721",8,1905,15600738
"722",11,17,15600738
"723",1,105282,15601865
"724",2,49938,15601865
"725",3,57519,15601865
"726",4,42218,15601865
"727",5,1453,15601865
"728",6,2150,15601865
"729",7,3398,15601865
"730",8,2675,15601865
"731",9,180,15601865
"732",10,4395,15601865
"733",11,1119,15601865
"734",1,105282,15601872
"735",2,49938,15601872
