"","common","sciname","source","iucn_sid","state","status","trend","status_scale"
"1748",NA,"Sturnus vulgaris","IUCN",22710886,"RI","NNA",NA,"RI"
"1749",NA,"Sturnus vulgaris","IUCN",22710886,"IUCN","LC - Least concern",NA,"IUCN"
"1750",NA,"Sturnus vulgaris","IUCN",22710886,"USA","NNA",NA,"USA"
"1751",NA,"Hydroprogne caspia","IUCN",22694524,"CT","N4N5B,N4N",NA,"CT"
"1752",NA,"Hydroprogne caspia","IUCN",22694524,"MA","S2N",NA,"MA"
"1753",NA,"Hydroprogne caspia","IUCN",22694524,"NY","S1",NA,"NY"
"1754",NA,"Hydroprogne caspia","IUCN",22694524,"RI","S1N",NA,"RI"
"1755",NA,"Hydroprogne caspia","IUCN",22694524,"IUCN","LC - Least concern",NA,"IUCN"
"1756",NA,"Hydroprogne caspia","IUCN",22694524,"USA","N4N5B,N4N",NA,"USA"
"1757",NA,"Podiceps grisegena","IUCN",22696599,"CT","N5B,N5N",NA,"CT"
"1758",NA,"Podiceps grisegena","IUCN",22696599,"ME","S3S4N",NA,"ME"
"1759",NA,"Podiceps grisegena","IUCN",22696599,"MA","S4N",NA,"MA"
"1760",NA,"Podiceps grisegena","IUCN",22696599,"NH","N5B,N5N",NA,"NH"
"1761",NA,"Podiceps grisegena","IUCN",22696599,"NY","N5B,N5N",NA,"NY"
"1762",NA,"Podiceps grisegena","IUCN",22696599,"RI","N5B,N5N",NA,"RI"
