"","state","status","species"
"489","USA","N5B","Sterna paradisaea"
"490","CT","S2B","Rallus crepitans"
"491","ME","S1?N","Rallus crepitans"
"492","MA","S2B,S2N","Rallus crepitans"
"493","NY","S2S3","Rallus crepitans"
"494","RI","S1B,S2N","Rallus crepitans"
"495","IUCN","LC - Least concern","Rallus crepitans"
"496","USA","N5B,N5N","Rallus crepitans"
"497","CT","N5B","Pluvialis dominica"
"498","ME","S2N","Pluvialis dominica"
"499","MA","S2N","Pluvialis dominica"
"500","NH","N5B","Pluvialis dominica"
"501","NY","N5B","Pluvialis dominica"
"502","RI","S2N","Pluvialis dominica"
"503","IUCN","LC - Least concern","Pluvialis dominica"
"504","USA","N5B","Pluvialis dominica"
"505","ME","SXN","Pinguinus impennis"
"506","MA","SX","Pinguinus impennis"
"507","NH","SX","Pinguinus impennis"
"508","IUCN","EX - Extinct","Pinguinus impennis"
"509","USA","NX","Pinguinus impennis"
"510","CT","N5B,N5N","Pluvialis squatarola"
"511","ME","S4S5N","Pluvialis squatarola"
"512","MA","S4N","Pluvialis squatarola"
"513","NH","N5B,N5N","Pluvialis squatarola"
"514","NY","N5B,N5N","Pluvialis squatarola"
"515","RI","N5B,N5N","Pluvialis squatarola"
"516","IUCN","LC - Least concern","Pluvialis squatarola"
"517","USA","N5B,N5N","Pluvialis squatarola"
"518","CT","S3B,S4N","Phalacrocorax auritus"
"519","ME","S5B","Phalacrocorax auritus"
"520","MA","S3B,S5N","Phalacrocorax auritus"
"521","NH","S5","Phalacrocorax auritus"
"522","NY","S3","Phalacrocorax auritus"
"523","RI","S2B","Phalacrocorax auritus"
"524","IUCN","LC - Least concern","Phalacrocorax auritus"
"525","USA","N5B,N5N","Phalacrocorax auritus"
"526","CT","S4B","Pandion haliaetus"
"527","ME","S5B","Pandion haliaetus"
"528","MA","S4B,S5M","Pandion haliaetus"
"529","NH","S3B","Pandion haliaetus"
"530","NY","S4B","Pandion haliaetus"
"531","RI","S2B,S2N","Pandion haliaetus"
"532","IUCN","LC - Least concern","Pandion haliaetus"
"533","USA","N5B,N4N","Pandion haliaetus"
"534","IUCN","LC - Least concern","Onychoprion anaethetus"
"535","USA","N1B,N3N","Onychoprion anaethetus"
"536","CT","S1B","Nyctanassa violacea"
"537","MA","S1B,S2N","Nyctanassa violacea"
"538","NY","S2","Nyctanassa violacea"
"539","RI","S1B,S1N","Nyctanassa violacea"
"540","IUCN","LC - Least concern","Nyctanassa violacea"
"541","USA","N5B,N5N","Nyctanassa violacea"
"542","CT","N5B,N5N","Numenius phaeopus"
"543","ME","S2N","Numenius phaeopus"
"544","MA","S3N","Numenius phaeopus"
"545","NH","N5B,N5N","Numenius phaeopus"
"546","NY","N5B,N5N","Numenius phaeopus"
"547","RI","S3N","Numenius phaeopus"
"548","IUCN","LC - Least concern","Numenius phaeopus"
"549","USA","N5B,N5N","Numenius phaeopus"
"550","CT","N1B,N4N","Phalacrocorax carbo"
"551","ME","S3B,S3N","Phalacrocorax carbo"
"552","MA","S1B,S4N","Phalacrocorax carbo"
"553","NH","N1B,N4N","Phalacrocorax carbo"
"554","NY","N1B,N4N","Phalacrocorax carbo"
"555","RI","N1B,N4N","Phalacrocorax carbo"
"556","IUCN","LC - Least concern","Phalacrocorax carbo"
"557","USA","N1B,N4N","Phalacrocorax carbo"
"558","IUCN","LC - Least concern","Mycteria americana"
"559","USA","N3","Mycteria americana"
"560","CT","N5B,N5N","Mergus serrator"
"561","ME","S3B,S5N","Mergus serrator"
"562","MA","S1B,S5N","Mergus serrator"
"563","NH","N5B,N5N","Mergus serrator"
"564","NY","S3","Mergus serrator"
"565","RI","N5B,N5N","Mergus serrator"
"566","IUCN","LC - Least concern","Mergus serrator"
"567","USA","N5B,N5N","Mergus serrator"
"568","CT","S3B","Mergus merganser"
"569","ME","S5","Mergus merganser"
"570","MA","S2B,S5N","Mergus merganser"
"571","NH","S4","Mergus merganser"
"572","NY","S5","Mergus merganser"
"573","RI","N5B,N5N","Mergus merganser"
"574","IUCN","LC - Least concern","Mergus merganser"
"575","USA","N5B,N5N","Mergus merganser"
"576","CT","N5B,N5N","Melanitta perspicillata"
"577","ME","S3S4N","Melanitta perspicillata"
"578","MA","S5N","Melanitta perspicillata"
"579","NH","N5B,N5N","Melanitta perspicillata"
"580","NY","N5B,N5N","Melanitta perspicillata"
"581","RI","N5B,N5N","Melanitta perspicillata"
"582","IUCN","LC - Least concern","Melanitta perspicillata"
"583","USA","N5B,N5N","Melanitta perspicillata"
"584","CT","S3B","Lophodytes cucullatus"
"585","ME","S5","Lophodytes cucullatus"
"586","MA","S4B,S5N","Lophodytes cucullatus"
"587","NH","S5","Lophodytes cucullatus"
"588","NY","S4","Lophodytes cucullatus"
"589","RI","S1B","Lophodytes cucullatus"
"590","IUCN","LC - Least concern","Lophodytes cucullatus"
"591","USA","N5B,N5N","Lophodytes cucullatus"
"592","CT","N3?B","Limosa haemastica"
"593","ME","S2N","Limosa haemastica"
"594","MA","S3N","Limosa haemastica"
"595","NH","N3?B","Limosa haemastica"
"596","NY","N3?B","Limosa haemastica"
"597","RI","S2N","Limosa haemastica"
"598","IUCN","LC - Least concern","Limosa haemastica"
"599","USA","N3?B","Limosa haemastica"
"600","ME","S5N","Oceanites oceanicus"
"601","MA","S5N","Oceanites oceanicus"
"602","NH","N5N","Oceanites oceanicus"
"603","NY","N5N","Oceanites oceanicus"
"604","RI","N5N","Oceanites oceanicus"
"605","IUCN","LC - Least concern","Oceanites oceanicus"
"606","USA","N5N","Oceanites oceanicus"
