FMP,stock,location,Jurisdiction,FSSI,year,rgn_id,source,stock_location,rgn_name
Northeast Multispecies,red hake,Southern Georges Bank / Mid-Atlantic,NEFMC,2.5,2005,12,NMFS,red hake Southern Georges Bank / Mid-Atlantic,Northeast
Monkfish,goosefish,Gulf of Maine / Northern Georges Bank,NEFMC / MAFMC,2,2005,2,NMFS,goosefish Gulf of Maine / Northern Georges Bank,Georges Bank
Monkfish,goosefish,Gulf of Maine / Northern Georges Bank,NEFMC / MAFMC,2,2005,3,NMFS,goosefish Gulf of Maine / Northern Georges Bank,Gulf of Maine
Monkfish,goosefish,Gulf of Maine / Northern Georges Bank,NEFMC / MAFMC,2,2005,6,NMFS,goosefish Gulf of Maine / Northern Georges Bank,Maine
Monkfish,goosefish,Gulf of Maine / Northern Georges Bank,NEFMC / MAFMC,2,2005,7,NMFS,goosefish Gulf of Maine / Northern Georges Bank,Massachusetts-North
Monkfish,goosefish,Gulf of Maine / Northern Georges Bank,NEFMC / MAFMC,2,2005,8,NMFS,goosefish Gulf of Maine / Northern Georges Bank,Massachusetts-South
Monkfish,goosefish,Gulf of Maine / Northern Georges Bank,NEFMC / MAFMC,2,2005,9,NMFS,goosefish Gulf of Maine / Northern Georges Bank,New Hampshire
Monkfish,goosefish,Gulf of Maine / Northern Georges Bank,NEFMC / MAFMC,2,2005,12,NMFS,goosefish Gulf of Maine / Northern Georges Bank,Northeast
Monkfish,goosefish,Southern Georges Bank / Mid-Atlantic,NEFMC / MAFMC,2,2005,1,NMFS,goosefish Southern Georges Bank / Mid-Atlantic,Offshore
Monkfish,goosefish,Southern Georges Bank / Mid-Atlantic,NEFMC / MAFMC,2,2005,2,NMFS,goosefish Southern Georges Bank / Mid-Atlantic,Georges Bank
Monkfish,goosefish,Southern Georges Bank / Mid-Atlantic,NEFMC / MAFMC,2,2005,4,NMFS,goosefish Southern Georges Bank / Mid-Atlantic,Mid-Atlantic Bight
Monkfish,goosefish,Southern Georges Bank / Mid-Atlantic,NEFMC / MAFMC,2,2005,5,NMFS,goosefish Southern Georges Bank / Mid-Atlantic,Connecticut
Monkfish,goosefish,Southern Georges Bank / Mid-Atlantic,NEFMC / MAFMC,2,2005,8,NMFS,goosefish Southern Georges Bank / Mid-Atlantic,Massachusetts-South
Monkfish,goosefish,Southern Georges Bank / Mid-Atlantic,NEFMC / MAFMC,2,2005,10,NMFS,goosefish Southern Georges Bank / Mid-Atlantic,New York
Monkfish,goosefish,Southern Georges Bank / Mid-Atlantic,NEFMC / MAFMC,2,2005,11,NMFS,goosefish Southern Georges Bank / Mid-Atlantic,Rhode Island
Monkfish,goosefish,Southern Georges Bank / Mid-Atlantic,NEFMC / MAFMC,2,2005,12,NMFS,goosefish Southern Georges Bank / Mid-Atlantic,Northeast
Northeast Multispecies,atlantic cod,Gulf of Maine,NEFMC,1,2006,3,NMFS,atlantic cod Gulf of Maine,Gulf of Maine
Northeast Multispecies,atlantic cod,Gulf of Maine,NEFMC,1,2006,6,NMFS,atlantic cod Gulf of Maine,Maine
Northeast Multispecies,atlantic cod,Gulf of Maine,NEFMC,1,2006,7,NMFS,atlantic cod Gulf of Maine,Massachusetts-North
Northeast Multispecies,atlantic cod,Gulf of Maine,NEFMC,1,2006,9,NMFS,atlantic cod Gulf of Maine,New Hampshire
Northeast Multispecies,atlantic cod,Gulf of Maine,NEFMC,1,2006,12,NMFS,atlantic cod Gulf of Maine,Northeast
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2006,1,NMFS,atlantic cod Georges Bank,Offshore
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2006,2,NMFS,atlantic cod Georges Bank,Georges Bank
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2006,3,NMFS,atlantic cod Georges Bank,Gulf of Maine
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2006,4,NMFS,atlantic cod Georges Bank,Mid-Atlantic Bight
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2006,5,NMFS,atlantic cod Georges Bank,Connecticut
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2006,7,NMFS,atlantic cod Georges Bank,Massachusetts-North
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2006,8,NMFS,atlantic cod Georges Bank,Massachusetts-South
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2006,10,NMFS,atlantic cod Georges Bank,New York
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2006,11,NMFS,atlantic cod Georges Bank,Rhode Island
Northeast Multispecies,atlantic cod,Georges Bank,NEFMC,1,2006,12,NMFS,atlantic cod Georges Bank,Northeast
Northeast Multispecies,haddock,Gulf of Maine,NEFMC,2,2006,3,NMFS,haddock Gulf of Maine,Gulf of Maine
Northeast Multispecies,haddock,Gulf of Maine,NEFMC,2,2006,6,NMFS,haddock Gulf of Maine,Maine
Northeast Multispecies,haddock,Gulf of Maine,NEFMC,2,2006,7,NMFS,haddock Gulf of Maine,Massachusetts-North
Northeast Multispecies,haddock,Gulf of Maine,NEFMC,2,2006,9,NMFS,haddock Gulf of Maine,New Hampshire
Northeast Multispecies,haddock,Gulf of Maine,NEFMC,2,2006,12,NMFS,haddock Gulf of Maine,Northeast
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2006,1,NMFS,haddock Georges Bank,Offshore
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2006,2,NMFS,haddock Georges Bank,Georges Bank
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2006,3,NMFS,haddock Georges Bank,Gulf of Maine
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2006,4,NMFS,haddock Georges Bank,Mid-Atlantic Bight
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2006,7,NMFS,haddock Georges Bank,Massachusetts-North
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2006,8,NMFS,haddock Georges Bank,Massachusetts-South
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2006,10,NMFS,haddock Georges Bank,New York
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2006,11,NMFS,haddock Georges Bank,Rhode Island
Northeast Multispecies,haddock,Georges Bank,NEFMC,2,2006,12,NMFS,haddock Georges Bank,Northeast
Northeast Multispecies,yellowtail flounder,Georges Bank,NEFMC,1,2006,1,NMFS,yellowtail flounder Georges Bank,Offshore
Northeast Multispecies,yellowtail flounder,Georges Bank,NEFMC,1,2006,2,NMFS,yellowtail flounder Georges Bank,Georges Bank
Northeast Multispecies,yellowtail flounder,Georges Bank,NEFMC,1,2006,3,NMFS,yellowtail flounder Georges Bank,Gulf of Maine
Northeast Multispecies,yellowtail flounder,Georges Bank,NEFMC,1,2006,12,NMFS,yellowtail flounder Georges Bank,Northeast
Northeast Multispecies,yellowtail flounder,Southern New England / Mid-Atlantic,NEFMC,1,2006,1,NMFS,yellowtail flounder Southern New England / Mid-Atlantic,Offshore
Northeast Multispecies,yellowtail flounder,Southern New England / Mid-Atlantic,NEFMC,1,2006,2,NMFS,yellowtail flounder Southern New England / Mid-Atlantic,Georges Bank
Northeast Multispecies,yellowtail flounder,Southern New England / Mid-Atlantic,NEFMC,1,2006,4,NMFS,yellowtail flounder Southern New England / Mid-Atlantic,Mid-Atlantic Bight
Northeast Multispecies,yellowtail flounder,Southern New England / Mid-Atlantic,NEFMC,1,2006,5,NMFS,yellowtail flounder Southern New England / Mid-Atlantic,Connecticut
Northeast Multispecies,yellowtail flounder,Southern New England / Mid-Atlantic,NEFMC,1,2006,8,NMFS,yellowtail flounder Southern New England / Mid-Atlantic,Massachusetts-South
Northeast Multispecies,yellowtail flounder,Southern New England / Mid-Atlantic,NEFMC,1,2006,10,NMFS,yellowtail flounder Southern New England / Mid-Atlantic,New York
Northeast Multispecies,yellowtail flounder,Southern New England / Mid-Atlantic,NEFMC,1,2006,11,NMFS,yellowtail flounder Southern New England / Mid-Atlantic,Rhode Island
Northeast Multispecies,yellowtail flounder,Southern New England / Mid-Atlantic,NEFMC,1,2006,12,NMFS,yellowtail flounder Southern New England / Mid-Atlantic,Northeast
Northeast Multispecies,yellowtail flounder,Cape Cod / Gulf of Maine,NEFMC,1,2006,2,NMFS,yellowtail flounder Cape Cod / Gulf of Maine,Georges Bank
Northeast Multispecies,yellowtail flounder,Cape Cod / Gulf of Maine,NEFMC,1,2006,3,NMFS,yellowtail flounder Cape Cod / Gulf of Maine,Gulf of Maine
Northeast Multispecies,yellowtail flounder,Cape Cod / Gulf of Maine,NEFMC,1,2006,6,NMFS,yellowtail flounder Cape Cod / Gulf of Maine,Maine
Northeast Multispecies,yellowtail flounder,Cape Cod / Gulf of Maine,NEFMC,1,2006,7,NMFS,yellowtail flounder Cape Cod / Gulf of Maine,Massachusetts-North
Northeast Multispecies,yellowtail flounder,Cape Cod / Gulf of Maine,NEFMC,1,2006,8,NMFS,yellowtail flounder Cape Cod / Gulf of Maine,Massachusetts-South
Northeast Multispecies,yellowtail flounder,Cape Cod / Gulf of Maine,NEFMC,1,2006,9,NMFS,yellowtail flounder Cape Cod / Gulf of Maine,New Hampshire
Northeast Multispecies,yellowtail flounder,Cape Cod / Gulf of Maine,NEFMC,1,2006,12,NMFS,yellowtail flounder Cape Cod / Gulf of Maine,Northeast
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2006,1,NMFS,windowpane Gulf of Maine / Georges Bank,Offshore
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2006,2,NMFS,windowpane Gulf of Maine / Georges Bank,Georges Bank
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2006,3,NMFS,windowpane Gulf of Maine / Georges Bank,Gulf of Maine
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2006,6,NMFS,windowpane Gulf of Maine / Georges Bank,Maine
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2006,7,NMFS,windowpane Gulf of Maine / Georges Bank,Massachusetts-North
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2006,8,NMFS,windowpane Gulf of Maine / Georges Bank,Massachusetts-South
Northeast Multispecies,windowpane,Gulf of Maine / Georges Bank,NEFMC,4,2006,9,NMFS,windowpane Gulf of Maine / Georges Bank,New Hampshire
