"","common","sciname","status_scale","status","score","rgn_id","rgn_name","iucn_sid"
"216","bottlenose dolphin","Tursiops truncatus",NA,NA,0.1,6,"Maine",NA
"217","bottlenose dolphin","Tursiops truncatus",NA,NA,0.1,9,"New Hampshire",NA
"218","bottlenose dolphin","Tursiops truncatus","MA","S2",0.6,7,"Massachusetts-Gulf of Maine",NA
"219","bottlenose dolphin","Tursiops truncatus","MA","S2",0.6,8,"Massachusetts-Virginian",NA
"220","bottlenose dolphin","Tursiops truncatus",NA,NA,0.1,11,"Rhode Island",NA
"221","bottlenose dolphin","Tursiops truncatus",NA,NA,0.1,4,"Mid-Atlantic Bight",NA
"222","bottlenose dolphin","Tursiops truncatus","NY","S3",0.4,10,"New York",NA
"223","bridled tern","Onychoprion anaethetus",NA,NA,0.8,3,"Gulf of Maine",NA
"224","bridled tern","Onychoprion anaethetus",NA,NA,0.8,2,"Georges Bank",NA
"225","bridled tern","Onychoprion anaethetus",NA,NA,0.8,8,"Massachusetts-Virginian",NA
"226","bridled tern","Onychoprion anaethetus",NA,NA,0.8,4,"Mid-Atlantic Bight",NA
"227","bridled tern","Onychoprion anaethetus",NA,NA,0.8,1,"Offshore",NA
"228","brown pelican","Pelecanus occidentalis",NA,NA,0.2,3,"Gulf of Maine",NA
"229","brown pelican","Pelecanus occidentalis",NA,NA,0.2,2,"Georges Bank",NA
"230","brown pelican","Pelecanus occidentalis",NA,NA,0.2,7,"Massachusetts-Gulf of Maine",NA
"231","brown pelican","Pelecanus occidentalis",NA,NA,0.2,8,"Massachusetts-Virginian",NA
"232","brown pelican","Pelecanus occidentalis",NA,NA,0.2,11,"Rhode Island",NA
"233","brown pelican","Pelecanus occidentalis",NA,NA,0.2,4,"Mid-Atlantic Bight",NA
"234","brown pelican","Pelecanus occidentalis",NA,NA,0.2,10,"New York",NA
"235","brown pelican","Pelecanus occidentalis",NA,NA,0.2,1,"Offshore",NA
"236","bullnose ray","Myliobatis freminvillei",NA,NA,NA,4,"Mid-Atlantic Bight",NA
"237","butterfish","Peprilus triacanthus",NA,NA,NA,3,"Gulf of Maine",NA
"238","butterfish","Peprilus triacanthus",NA,NA,NA,6,"Maine",NA
"239","butterfish","Peprilus triacanthus",NA,NA,NA,9,"New Hampshire",NA
"240","butterfish","Peprilus triacanthus",NA,NA,NA,2,"Georges Bank",NA
"241","butterfish","Peprilus triacanthus",NA,NA,NA,7,"Massachusetts-Gulf of Maine",NA
"242","butterfish","Peprilus triacanthus",NA,NA,NA,1,"Offshore",NA
"243","butterfish","Peprilus triacanthus","RI","NNR",NA,11,"Rhode Island",NA
"244","butterfish","Peprilus triacanthus",NA,NA,NA,8,"Massachusetts-Virginian",NA
"245","butterfish","Peprilus triacanthus",NA,NA,NA,4,"Mid-Atlantic Bight",NA
"246","butterfish","Peprilus triacanthus","NY","NNR",NA,10,"New York",NA
"247","clearnose skate","Raja eglanteria","RI","NNR",0,11,"Rhode Island",NA
"248","clearnose skate","Raja eglanteria",NA,NA,0,4,"Mid-Atlantic Bight",NA
"249","clearnose skate","Raja eglanteria",NA,NA,0,10,"New York",NA
"250","common eider","Somateria mollissima",NA,NA,0,3,"Gulf of Maine",NA
"251","common eider","Somateria mollissima",NA,NA,0,2,"Georges Bank",NA
"252","common eider","Somateria mollissima","MA","S2B,S5N",0.6,7,"Massachusetts-Gulf of Maine",NA
"253","common eider","Somateria mollissima","MA","S2B,S5N",0.6,8,"Massachusetts-Virginian",NA
"254","common eider","Somateria mollissima","RI","N5B,N5N",0,11,"Rhode Island",NA
"255","common eider","Somateria mollissima",NA,NA,0,4,"Mid-Atlantic Bight",NA
"256","common eider","Somateria mollissima","NY","S1B,S3?N",0.8,10,"New York",NA
"257","common eider","Somateria mollissima",NA,NA,0,1,"Offshore",NA
"258","common loon","Gavia immer",NA,NA,0.2,3,"Gulf of Maine",NA
"259","common loon","Gavia immer",NA,NA,0.2,2,"Georges Bank",NA
"260","common loon","Gavia immer","MA","S2B,S5N",0.6,7,"Massachusetts-Gulf of Maine",NA
"261","common loon","Gavia immer","MA","S2B,S5N",0.6,8,"Massachusetts-Virginian",NA
"262","common loon","Gavia immer","RI","N4B,N5N",0.2,11,"Rhode Island",NA
"263","common loon","Gavia immer",NA,NA,0.2,4,"Mid-Atlantic Bight",NA
"264","common loon","Gavia immer","NY","S4",0.2,10,"New York",NA
"265","common loon","Gavia immer",NA,NA,0.2,1,"Offshore",NA
"266","common murre","Uria aalge",NA,NA,0,3,"Gulf of Maine",NA
"267","common murre","Uria aalge",NA,NA,0,2,"Georges Bank",NA
"268","common murre","Uria aalge","MA","S1N",0.8,7,"Massachusetts-Gulf of Maine",NA
"269","common murre","Uria aalge","MA","S1N",0.8,8,"Massachusetts-Virginian",NA
"270","common murre","Uria aalge",NA,NA,0,11,"Rhode Island",NA
"271","common murre","Uria aalge",NA,NA,0,4,"Mid-Atlantic Bight",NA
"272","common murre","Uria aalge",NA,NA,0,1,"Offshore",NA
"273","common tern","Sterna hirundo",NA,NA,0,3,"Gulf of Maine",NA
"274","common tern","Sterna hirundo",NA,NA,0,2,"Georges Bank",NA
"275","common tern","Sterna hirundo","MA","S3B,S4N",0.4,7,"Massachusetts-Gulf of Maine",NA
"276","common tern","Sterna hirundo","MA","S3B,S4N",0.4,8,"Massachusetts-Virginian",NA
"277","common tern","Sterna hirundo","RI","S3B",0.4,11,"Rhode Island",NA
"278","common tern","Sterna hirundo",NA,NA,0,4,"Mid-Atlantic Bight",NA
"279","common tern","Sterna hirundo","NY","S3B",0.4,10,"New York",NA
"280","common tern","Sterna hirundo",NA,NA,0,1,"Offshore",NA
"281","corys shearwater","Calonectris borealis",NA,NA,NA,3,"Gulf of Maine",NA
"282","corys shearwater","Calonectris borealis",NA,NA,NA,2,"Georges Bank",NA
"283","corys shearwater","Calonectris borealis",NA,NA,NA,7,"Massachusetts-Gulf of Maine",NA
"284","corys shearwater","Calonectris borealis",NA,NA,NA,8,"Massachusetts-Virginian",NA
"285","corys shearwater","Calonectris borealis",NA,NA,NA,11,"Rhode Island",NA
"286","corys shearwater","Calonectris borealis",NA,NA,NA,4,"Mid-Atlantic Bight",NA
"287","corys shearwater","Calonectris borealis",NA,NA,NA,1,"Offshore",NA
"288","cunner","Tautogolabrus adspersus",NA,NA,0,6,"Maine",NA
"289","cunner","Tautogolabrus adspersus",NA,NA,0,3,"Gulf of Maine",NA
"290","cunner","Tautogolabrus adspersus",NA,NA,0,9,"New Hampshire",NA
"291","cunner","Tautogolabrus adspersus",NA,NA,0,2,"Georges Bank",NA
"292","cunner","Tautogolabrus adspersus",NA,NA,0,7,"Massachusetts-Gulf of Maine",NA
"293","cunner","Tautogolabrus adspersus",NA,NA,0,1,"Offshore",NA
"294","cunner","Tautogolabrus adspersus","RI","N5",0,11,"Rhode Island",NA
"295","cunner","Tautogolabrus adspersus",NA,NA,0,8,"Massachusetts-Virginian",NA
