"","rgn_id","species","iucn_sid"
"234",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149335.tif",15149335
"235",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149335.tif",15149335
"236",6,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149335.tif",15149335
"237",7,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149335.tif",15149335
"238",8,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149335.tif",15149335
"239",9,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149335.tif",15149335
"240",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149335.tif",15149335
"241",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_15149335.tif",15149335
"242",2,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_153538.tif",153538
"243",3,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_153538.tif",153538
"244",4,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_153538.tif",153538
"245",5,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_153538.tif",153538
"246",6,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_153538.tif",153538
"247",7,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_153538.tif",153538
"248",8,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_153538.tif",153538
"249",9,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_153538.tif",153538
"250",10,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_153538.tif",153538
"251",11,"/home/shares/ohi/git-annex/neprep/bio/spp_presence_rasters/iucn_sid_153538.tif",153538
