"","state","status","species"
"513","IUCN","LC - Least concern","Egretta tricolor"
"514","USA","N5B,N5N","Egretta tricolor"
"515","CT","S5B","Geothlypis trichas"
"516","ME","S4S5B","Geothlypis trichas"
"517","MA","S5B","Geothlypis trichas"
"518","NH","S5B","Geothlypis trichas"
"519","NY","S5B","Geothlypis trichas"
"520","RI","S5B","Geothlypis trichas"
"521","IUCN","LC - Least concern","Geothlypis trichas"
"522","USA","N5","Geothlypis trichas"
"523","CT","S4B","Cistothorus palustris"
"524","ME","S4B","Cistothorus palustris"
"525","MA","S2S3B","Cistothorus palustris"
"526","NH","S3B","Cistothorus palustris"
"527","NY","S5","Cistothorus palustris"
"528","RI","S2B,S3N","Cistothorus palustris"
"529","IUCN","LC - Least concern","Cistothorus palustris"
"530","USA","N5B,N5N","Cistothorus palustris"
"531","ME","S1N","Uria lomvia"
"532","MA","S2N","Uria lomvia"
"533","NH","N5B,N5N","Uria lomvia"
"534","NY","N5B,N5N","Uria lomvia"
"535","RI","N5B,N5N","Uria lomvia"
"536","IUCN","LC - Least concern","Uria lomvia"
"537","USA","N5B,N5N","Uria lomvia"
"538","ME","SXB,S1N","Uria aalge"
"539","MA","S1N","Uria aalge"
"540","NH","N5B,N5N","Uria aalge"
"541","IUCN","LC - Least concern","Uria aalge"
"542","USA","N5B,N5N","Uria aalge"
"543","CT","N5B,N5N","Thalasseus maximus"
"544","MA","S1N","Thalasseus maximus"
"545","NY","N5B,N5N","Thalasseus maximus"
"546","RI","S1N","Thalasseus maximus"
"547","IUCN","LC - Least concern","Thalasseus maximus"
"548","USA","N5B,N5N","Thalasseus maximus"
"549","ME","S4S5N","Rissa tridactyla"
"550","MA","S4N","Rissa tridactyla"
"551","NH","N5B,N5N","Rissa tridactyla"
"552","NY","N5B,N5N","Rissa tridactyla"
"553","RI","N5B,N5N","Rissa tridactyla"
"554","IUCN","LC - Least concern","Rissa tridactyla"
"555","USA","N5B,N5N","Rissa tridactyla"
"556","ME","S3S4N","Puffinus puffinus"
"557","MA","SXB,S3S4N","Puffinus puffinus"
"558","NH","N1B","Puffinus puffinus"
"559","RI","N1B","Puffinus puffinus"
"560","IUCN","LC - Least concern","Puffinus puffinus"
"561","USA","N1B","Puffinus puffinus"
"562","IUCN","LC - Least concern","Puffinus lherminieri"
"563","USA","N5N","Puffinus lherminieri"
"564","CT","N5B,N5N","Podiceps grisegena"
"565","ME","S3S4N","Podiceps grisegena"
"566","MA","S4N","Podiceps grisegena"
"567","NH","N5B,N5N","Podiceps grisegena"
"568","NY","N5B,N5N","Podiceps grisegena"
"569","RI","N5B,N5N","Podiceps grisegena"
"570","IUCN","LC - Least concern","Podiceps grisegena"
"571","USA","N5B,N5N","Podiceps grisegena"
"572","CT","N4N5B,N4N","Hydroprogne caspia"
"573","MA","S2N","Hydroprogne caspia"
"574","NY","S1","Hydroprogne caspia"
"575","RI","S1N","Hydroprogne caspia"
"576","IUCN","LC - Least concern","Hydroprogne caspia"
"577","USA","N4N5B,N4N","Hydroprogne caspia"
"578","ME","S4S5N","Morus bassanus"
"579","MA","S5N","Morus bassanus"
"580","NH","NNA","Morus bassanus"
"581","NY","NNA","Morus bassanus"
"582","RI","NNA","Morus bassanus"
"583","IUCN","LC - Least concern","Morus bassanus"
"584","USA","NNA","Morus bassanus"
"585","CT","NNA","Sturnus vulgaris"
"586","ME","NNA","Sturnus vulgaris"
"587","MA","NNA","Sturnus vulgaris"
"588","NH","NNA","Sturnus vulgaris"
"589","NY","NNA","Sturnus vulgaris"
"590","RI","NNA","Sturnus vulgaris"
"591","IUCN","LC - Least concern","Sturnus vulgaris"
"592","USA","NNA","Sturnus vulgaris"
"593","CT","N5B,N5N","Tringa melanoleuca"
"594","ME","S4N","Tringa melanoleuca"
"595","MA","S4N","Tringa melanoleuca"
"596","NH","N5B,N5N","Tringa melanoleuca"
"597","NY","N5B,N5N","Tringa melanoleuca"
"598","RI","N5B,N5N","Tringa melanoleuca"
"599","IUCN","LC - Least concern","Tringa melanoleuca"
"600","USA","N5B,N5N","Tringa melanoleuca"
"601","CT","S4B","Tringa semipalmata"
"602","ME","S3B","Tringa semipalmata"
"603","MA","S3B,S3N","Tringa semipalmata"
"604","NH","S3B","Tringa semipalmata"
"605","NY","S3B","Tringa semipalmata"
"606","RI","S1B,S3N","Tringa semipalmata"
"607","IUCN","LC - Least concern","Tringa semipalmata"
"608","USA","N5B,N5N","Tringa semipalmata"
"609","MA","S1N","Thalasseus sandvicensis"
"610","IUCN","LC - Least concern","Thalasseus sandvicensis"
"611","USA","N4B,N4N","Thalasseus sandvicensis"
"612","CT","S2B","Sternula antillarum"
