iucn_sid,sciname,population,category,common_name
16545046,Lopholatilus chamaeleonticeps,NA,EN,Golden Tilefish
17027,Phocoena phocoena,NA,LC,Harbour Porpoise
20730,Stenella clymene,NA,DD,Clymene Dolphin
11142,Lagenorhynchus albirostris,NA,LC,White-beaked Dolphin
13245,Mesoplodon europaeus,NA,DD,Gervais' Beaked Whale
9250,Globicephala melas,NA,DD,Long-finned Pilot Whale
41712,Eubalaena glacialis,NA,EN,North Atlantic Right Whale
23211,Ziphius cavirostris,NA,LC,Cuvier's Beaked Whale
17013,Phoca vitulina,NA,LC,Harbor Seal
20731,Stenella coeruleoalba,NA,LC,Striped Dolphin
2477,Balaenoptera musculus,NA,EN,Blue Whale
2476,Balaenoptera edeni,NA,LC,Bryde's Whale
13250,Mesoplodon mirus,NA,DD,True's Beaked Whale
15421,Orcinus orca,NA,DD,Killer Whale
9660,Halichoerus grypus,NA,LC,Grey Seal
13006,Megaptera novaeangliae,NA,LC,Humpback Whale
11141,Lagenorhynchus acutus,NA,LC,Atlantic White-sided Dolphin
6204,Cystophora cristata,NA,VU,Hooded Seal
22563,Tursiops truncatus,NA,LC,Common Bottlenose Dolphin
41755,Physeter macrocephalus,NA,VU,Sperm Whale
13244,Mesoplodon densirostris,NA,DD,Blainville's Beaked Whale
11047,Kogia breviceps,NA,DD,Pygmy Sperm Whale
11048,Kogia sima,NA,DD,Dwarf Sperm Whale
41671,Pagophilus groenlandicus,NA,LC,Harp Seal
2474,Balaenoptera acutorostrata,NA,LC,Common Minke Whale
2478,Balaenoptera physalus,NA,EN,Fin Whale
9461,Grampus griseus,NA,LC,Risso's Dolphin
20729,Stenella attenuata,NA,LC,Pantropical Spotted Dolphin
20732,Stenella frontalis,NA,DD,Atlantic Spotted Dolphin
20733,Stenella longirostris,NA,DD,Spinner Dolphin
9249,Globicephala macrorhynchus,NA,DD,Short-finned Pilot Whale
6336,Delphinus delphis,NA,LC,Short-beaked Common Dolphin
