"","species","rgn_id"
"659","Longhorn_sculpin",1
"660","Longhorn_sculpin",2
"661","Longhorn_sculpin",3
"662","Longhorn_sculpin",4
"663","Longhorn_sculpin",6
"664","Longhorn_sculpin",7
"665","Longhorn_sculpin",8
"666","Longhorn_sculpin",9
"667","Longhorn_sculpin",10
"668","Longhorn_sculpin",11
"669","manx_shearwater_normalized_AEA",1
"670","manx_shearwater_normalized_AEA",2
"671","manx_shearwater_normalized_AEA",3
"672","manx_shearwater_normalized_AEA",4
"673","manx_shearwater_normalized_AEA",6
"674","manx_shearwater_normalized_AEA",7
"675","manx_shearwater_normalized_AEA",8
"676","Minke whale",1
"677","Minke whale",2
"678","Minke whale",3
"679","Minke whale",4
"680","Minke whale",6
"681","Minke whale",7
"682","Minke whale",8
"683","Minke whale",9
"684","Minke whale",10
"685","North Atlantic right whale",1
"686","North Atlantic right whale",2
"687","North Atlantic right whale",3
"688","North Atlantic right whale",4
"689","North Atlantic right whale",5
"690","North Atlantic right whale",6
"691","North Atlantic right whale",7
"692","North Atlantic right whale",8
"693","North Atlantic right whale",9
"694","North Atlantic right whale",10
"695","North Atlantic right whale",11
"696","northern_fulmar_normalized_AEA",1
"697","northern_fulmar_normalized_AEA",2
"698","northern_fulmar_normalized_AEA",3
"699","northern_fulmar_normalized_AEA",4
"700","northern_fulmar_normalized_AEA",6
"701","northern_fulmar_normalized_AEA",7
"702","northern_gannet_normalized_AEA",1
"703","northern_gannet_normalized_AEA",2
"704","northern_gannet_normalized_AEA",3
"705","northern_gannet_normalized_AEA",4
"706","northern_gannet_normalized_AEA",6
"707","northern_gannet_normalized_AEA",7
"708","northern_gannet_normalized_AEA",8
"709","northern_gannet_normalized_AEA",9
"710","northern_gannet_normalized_AEA",10
"711","northern_gannet_normalized_AEA",11
"712","Northern_kingfish",1
"713","Northern_kingfish",2
"714","Northern_kingfish",4
"715","Northern_kingfish",7
"716","Northern_kingfish",8
"717","Northern_kingfish",10
"718","Northern_kingfish",11
"719","Northern_pipefish",2
"720","Northern_pipefish",3
"721","Northern_pipefish",4
"722","Northern_pipefish",7
"723","Northern_pipefish",8
"724","Northern_pipefish",10
"725","Northern_pipefish",11
"726","Northern_puffer",4
"727","Northern_puffer",8
"728","Northern_puffer",10
"729","Northern_puffer",11
"730","Northern_sand_lance",2
"731","Northern_sand_lance",3
"732","Northern_sand_lance",4
"733","Northern_sand_lance",6
"734","Northern_sand_lance",7
"735","Northern_sand_lance",8
"736","Northern_sand_lance",9
"737","Northern_sand_lance",10
"738","Northern_sand_lance",11
"739","Northern_searobin",1
"740","Northern_searobin",2
"741","Northern_searobin",3
"742","Northern_searobin",4
"743","Northern_searobin",6
"744","Northern_searobin",7
"745","Northern_searobin",8
"746","Northern_searobin",9
"747","Northern_searobin",10
"748","Northern_searobin",11
"749","Northern_shortfin_squid",1
"750","Northern_shortfin_squid",2
"751","Northern_shortfin_squid",3
"752","Northern_shortfin_squid",4
"753","Northern_shortfin_squid",6
"754","Northern_shortfin_squid",7
"755","Northern_shortfin_squid",9
"756","Northern_shrimp",2
"757","Northern_shrimp",3
"758","Northern_shrimp",6
"759","Northern_shrimp",7
"760","Northern_shrimp",9
"761","Ocean_pout",1
"762","Ocean_pout",2
"763","Ocean_pout",3
"764","Ocean_pout",4
"765","Ocean_pout",6
"766","Ocean_pout",7
"767","Ocean_pout",8
"768","Ocean_pout",9
"769","Ocean_pout",10
"770","Ocean_pout",11
