nmfs_original_species,stock_assessment_species_name,stock_assessment_species_location,stockid,source,stock,rgn_id,rgn_name
"FLOUNDER, AMERICAN PLAICE /DAB",american plaice,Gulf of Maine / Georges Bank,PLAGMMA,NMFS,Plaice,6,Maine
"FLOUNDER, AMERICAN PLAICE /DAB",american plaice,Gulf of Maine / Georges Bank,PLAGMMA,NMFS,Plaice,7,Massachusetts-North
"FLOUNDER, AMERICAN PLAICE /DAB",american plaice,Gulf of Maine / Georges Bank,PLAGMMA,NMFS,Plaice,8,Massachusetts-South
"FLOUNDER, AMERICAN PLAICE /DAB",american plaice,Gulf of Maine / Georges Bank,PLAGMMA,NMFS,Plaice,9,New Hampshire
"FLOUNDER, AMERICAN PLAICE /DAB",american plaice,Gulf of Maine / Georges Bank,PLAGMMA,NMFS,Plaice,10,New York
"FLOUNDER, AMERICAN PLAICE /DAB",american plaice,Gulf of Maine / Georges Bank,PLAGMMA,NMFS,Plaice,11,Rhode Island
"FLOUNDER, AMERICAN PLAICE /DAB",american plaice,Gulf of Maine / Georges Bank,PLAGMMA,NMFS,Plaice,12,Northeast
"HALIBUT, ATLANTIC",atlantic halibut,Northwestern Atlantic Coast,HALGMMA,NMFS,Halibut,1,Offshore
"HALIBUT, ATLANTIC",atlantic halibut,Northwestern Atlantic Coast,HALGMMA,NMFS,Halibut,2,Georges Bank
"HALIBUT, ATLANTIC",atlantic halibut,Northwestern Atlantic Coast,HALGMMA,NMFS,Halibut,3,Gulf of Maine
"HALIBUT, ATLANTIC",atlantic halibut,Northwestern Atlantic Coast,HALGMMA,NMFS,Halibut,4,Mid-Atlantic Bight
"HALIBUT, ATLANTIC",atlantic halibut,Northwestern Atlantic Coast,HALGMMA,NMFS,Halibut,5,Connecticut
"HALIBUT, ATLANTIC",atlantic halibut,Northwestern Atlantic Coast,HALGMMA,NMFS,Halibut,6,Maine
"HALIBUT, ATLANTIC",atlantic halibut,Northwestern Atlantic Coast,HALGMMA,NMFS,Halibut,7,Massachusetts-North
"HALIBUT, ATLANTIC",atlantic halibut,Northwestern Atlantic Coast,HALGMMA,NMFS,Halibut,8,Massachusetts-South
"HALIBUT, ATLANTIC",atlantic halibut,Northwestern Atlantic Coast,HALGMMA,NMFS,Halibut,9,New Hampshire
"HALIBUT, ATLANTIC",atlantic halibut,Northwestern Atlantic Coast,HALGMMA,NMFS,Halibut,10,New York
"HALIBUT, ATLANTIC",atlantic halibut,Northwestern Atlantic Coast,HALGMMA,NMFS,Halibut,11,Rhode Island
"HALIBUT, ATLANTIC",atlantic halibut,Northwestern Atlantic Coast,HALGMMA,NMFS,Halibut,12,Northeast
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Georges Bank,FLWGB,NMFS,GB Winter Flounder,1,Offshore
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Georges Bank,FLWGB,NMFS,GB Winter Flounder,2,Georges Bank
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Georges Bank,FLWGB,NMFS,GB Winter Flounder,3,Gulf of Maine
"FLOUNDER, WINTER / BLACKBACK",winter flounder,Georges Bank,FLWGB,NMFS,GB Winter Flounder,12,Northeast
"SCALLOP, SEA",sea scallop,Northwestern Atlantic Coast,NA,NMFS,NA,1,Offshore
"SCALLOP, SEA",sea scallop,Northwestern Atlantic Coast,NA,NMFS,NA,2,Georges Bank
"SCALLOP, SEA",sea scallop,Northwestern Atlantic Coast,NA,NMFS,NA,3,Gulf of Maine
"SCALLOP, SEA",sea scallop,Northwestern Atlantic Coast,NA,NMFS,NA,4,Mid-Atlantic Bight
"SCALLOP, SEA",sea scallop,Northwestern Atlantic Coast,NA,NMFS,NA,5,Connecticut
"SCALLOP, SEA",sea scallop,Northwestern Atlantic Coast,NA,NMFS,NA,6,Maine
"SCALLOP, SEA",sea scallop,Northwestern Atlantic Coast,NA,NMFS,NA,7,Massachusetts-North
"SCALLOP, SEA",sea scallop,Northwestern Atlantic Coast,NA,NMFS,NA,8,Massachusetts-South
"SCALLOP, SEA",sea scallop,Northwestern Atlantic Coast,NA,NMFS,NA,9,New Hampshire
"SCALLOP, SEA",sea scallop,Northwestern Atlantic Coast,NA,NMFS,NA,10,New York
"SCALLOP, SEA",sea scallop,Northwestern Atlantic Coast,NA,NMFS,NA,11,Rhode Island
"SCALLOP, SEA",sea scallop,Northwestern Atlantic Coast,NA,NMFS,NA,12,Northeast
"HAKE, RED / LING",red hake,Gulf of Maine / Northern Georges Bank,HKRGMNGB,NMFS,Northern Red Hake,2,Georges Bank
"HAKE, RED / LING",red hake,Gulf of Maine / Northern Georges Bank,HKRGMNGB,NMFS,Northern Red Hake,3,Gulf of Maine
