"","year","stock","indicator","value"
"213",2006,"Rosette skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",2.5
"214",2006,"Smooth skate - Gulf of Maine | Asmt & Status","b_bmsy",0.563000023365021
"215",2006,"Thorny skate - Gulf of Maine | Asmt & Status","b_bmsy",0.127000004053116
"216",2006,"Winter skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.517000019550323
"217",2007,"Sea scallop - Northwestern Atlantic Coast","b_bmsy",1.52999997138977
"218",2008,"Acadian redfish - Gulf of Maine / Georges Bank","b_bmsy",0.635999977588654
"219",2008,"American plaice - Gulf of Maine / Georges Bank","b_bmsy",0.505999982357025
"220",2008,"Atlantic cod - Georges Bank","b_bmsy",0.119000002741814
"221",2008,"Atlantic cod - Gulf of Maine","b_bmsy",0.582000017166138
"222",2008,"Atlantic halibut - Northwestern Atlantic Coast","b_bmsy",0.0270000007003546
"223",2008,"Haddock - Georges Bank","b_bmsy",1.9889999628067
"224",2008,"Haddock - Gulf of Maine","b_bmsy",0.991999983787537
"225",2008,"Ocean pout - Northwestern Atlantic Coast","b_bmsy",0.0970000028610229
"226",2008,"Pollock - Gulf of Maine / Georges Bank","b_bmsy",0.377000004053116
"227",2008,"White hake - Gulf of Maine / Georges Bank","b_bmsy",0.351999998092651
"228",2008,"Windowpane - Gulf of Maine / Georges Bank","b_bmsy",0.171000003814697
"229",2008,"Windowpane - Southern New England / Mid-Atlantic","b_bmsy",0.559000015258789
"230",2008,"Winter flounder - Georges Bank","b_bmsy",0.310000002384186
"231",2008,"Winter flounder - Southern New England / Mid-Atlantic","b_bmsy",0.0869999974966049
"232",2008,"Witch flounder - Northwestern Atlantic Coast","b_bmsy",0.300000011920929
"233",2008,"Yellowtail flounder - Cape Cod / Gulf of Maine","b_bmsy",0.246999993920326
"234",2008,"Yellowtail flounder - Georges Bank","b_bmsy",0.221000000834465
"235",2008,"Yellowtail flounder - Southern New England / Mid-Atlantic","b_bmsy",0.128000006079674
"236",2008,"Barndoor skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.629999995231628
"237",2008,"Clearnose skate - Southern New England / Mid-Atlantic | Asmt & Status","b_bmsy",1.35099995136261
"238",2008,"Little skate - Georges Bank / Southern New England | Asmt & Status","b_bmsy",0.717000007629395
