year,stock,indicator,value
2008,Acadian redfish - Gulf of Maine / Georges Bank,F/Fmsy,0.174999997019768
2012,Acadian redfish - Gulf of Maine / Georges Bank,F/Fmsy,0.150000005960464
2015,Acadian redfish - Gulf of Maine / Georges Bank,F/Fmsy,0.389999985694885
2017,Acadian redfish - Gulf of Maine / Georges Bank,F/Fmsy,0.275000005960464
2005,Acadian redfish - Gulf of Maine / Georges Bank,B/Bmsy,0.740000009536743
2008,Acadian redfish - Gulf of Maine / Georges Bank,B/Bmsy,0.635999977588654
2012,Acadian redfish - Gulf of Maine / Georges Bank,B/Bmsy,1.32299995422363
2015,Acadian redfish - Gulf of Maine / Georges Bank,B/Bmsy,1.16999995708466
2017,Acadian redfish - Gulf of Maine / Georges Bank,B/Bmsy,1.45200002193451
1930,Albacore tuna North Atlantic,B/Bmsy,2.72
1931,Albacore tuna North Atlantic,B/Bmsy,2.69
1932,Albacore tuna North Atlantic,B/Bmsy,2.65
1933,Albacore tuna North Atlantic,B/Bmsy,2.63
1934,Albacore tuna North Atlantic,B/Bmsy,2.61
1935,Albacore tuna North Atlantic,B/Bmsy,2.57
1936,Albacore tuna North Atlantic,B/Bmsy,2.53
1937,Albacore tuna North Atlantic,B/Bmsy,2.51
1938,Albacore tuna North Atlantic,B/Bmsy,2.49
1939,Albacore tuna North Atlantic,B/Bmsy,2.48
1940,Albacore tuna North Atlantic,B/Bmsy,2.46
1941,Albacore tuna North Atlantic,B/Bmsy,2.45
1942,Albacore tuna North Atlantic,B/Bmsy,2.44
1943,Albacore tuna North Atlantic,B/Bmsy,2.43
1944,Albacore tuna North Atlantic,B/Bmsy,2.41
1945,Albacore tuna North Atlantic,B/Bmsy,2.4
1946,Albacore tuna North Atlantic,B/Bmsy,2.36
1947,Albacore tuna North Atlantic,B/Bmsy,2.33
1948,Albacore tuna North Atlantic,B/Bmsy,2.31
1949,Albacore tuna North Atlantic,B/Bmsy,2.29
1950,Albacore tuna North Atlantic,B/Bmsy,2.26
1951,Albacore tuna North Atlantic,B/Bmsy,2.2
1952,Albacore tuna North Atlantic,B/Bmsy,2.16
1953,Albacore tuna North Atlantic,B/Bmsy,2.12
1954,Albacore tuna North Atlantic,B/Bmsy,2.1
1955,Albacore tuna North Atlantic,B/Bmsy,2.05
1956,Albacore tuna North Atlantic,B/Bmsy,2.03
1957,Albacore tuna North Atlantic,B/Bmsy,1.98
1958,Albacore tuna North Atlantic,B/Bmsy,1.94
1959,Albacore tuna North Atlantic,B/Bmsy,1.87
1960,Albacore tuna North Atlantic,B/Bmsy,1.81
1961,Albacore tuna North Atlantic,B/Bmsy,1.75
1962,Albacore tuna North Atlantic,B/Bmsy,1.72
1963,Albacore tuna North Atlantic,B/Bmsy,1.65
1964,Albacore tuna North Atlantic,B/Bmsy,1.57
1965,Albacore tuna North Atlantic,B/Bmsy,1.5
1966,Albacore tuna North Atlantic,B/Bmsy,1.43
1967,Albacore tuna North Atlantic,B/Bmsy,1.4
1968,Albacore tuna North Atlantic,B/Bmsy,1.34
1969,Albacore tuna North Atlantic,B/Bmsy,1.31
1970,Albacore tuna North Atlantic,B/Bmsy,1.29
1971,Albacore tuna North Atlantic,B/Bmsy,1.26
1972,Albacore tuna North Atlantic,B/Bmsy,1.21
1973,Albacore tuna North Atlantic,B/Bmsy,1.18
1974,Albacore tuna North Atlantic,B/Bmsy,1.16
1975,Albacore tuna North Atlantic,B/Bmsy,1.13
1976,Albacore tuna North Atlantic,B/Bmsy,1.12
1977,Albacore tuna North Atlantic,B/Bmsy,1.07
1978,Albacore tuna North Atlantic,B/Bmsy,1.03
1979,Albacore tuna North Atlantic,B/Bmsy,0.997
1980,Albacore tuna North Atlantic,B/Bmsy,0.963
1981,Albacore tuna North Atlantic,B/Bmsy,0.96
1982,Albacore tuna North Atlantic,B/Bmsy,0.967
1983,Albacore tuna North Atlantic,B/Bmsy,0.954
1984,Albacore tuna North Atlantic,B/Bmsy,0.919
1985,Albacore tuna North Atlantic,B/Bmsy,0.907
1986,Albacore tuna North Atlantic,B/Bmsy,0.897
1987,Albacore tuna North Atlantic,B/Bmsy,0.871
1988,Albacore tuna North Atlantic,B/Bmsy,0.865
1989,Albacore tuna North Atlantic,B/Bmsy,0.872
1990,Albacore tuna North Atlantic,B/Bmsy,0.883
1991,Albacore tuna North Atlantic,B/Bmsy,0.884
1992,Albacore tuna North Atlantic,B/Bmsy,0.906
1993,Albacore tuna North Atlantic,B/Bmsy,0.918
1994,Albacore tuna North Atlantic,B/Bmsy,0.916
1995,Albacore tuna North Atlantic,B/Bmsy,0.921
1996,Albacore tuna North Atlantic,B/Bmsy,0.917
1997,Albacore tuna North Atlantic,B/Bmsy,0.932
1998,Albacore tuna North Atlantic,B/Bmsy,0.95
1999,Albacore tuna North Atlantic,B/Bmsy,0.978
2000,Albacore tuna North Atlantic,B/Bmsy,0.983
2001,Albacore tuna North Atlantic,B/Bmsy,0.992
2002,Albacore tuna North Atlantic,B/Bmsy,1.02
2003,Albacore tuna North Atlantic,B/Bmsy,1.05
2004,Albacore tuna North Atlantic,B/Bmsy,1.07
2005,Albacore tuna North Atlantic,B/Bmsy,1.09
2006,Albacore tuna North Atlantic,B/Bmsy,1.1
2007,Albacore tuna North Atlantic,B/Bmsy,1.1
2008,Albacore tuna North Atlantic,B/Bmsy,1.13
2009,Albacore tuna North Atlantic,B/Bmsy,1.17
2010,Albacore tuna North Atlantic,B/Bmsy,1.22
2011,Albacore tuna North Atlantic,B/Bmsy,1.26
2012,Albacore tuna North Atlantic,B/Bmsy,1.3
2013,Albacore tuna North Atlantic,B/Bmsy,1.32
2014,Albacore tuna North Atlantic,B/Bmsy,1.34
1930,Albacore tuna North Atlantic,F/Fmsy,0.112
1931,Albacore tuna North Atlantic,F/Fmsy,0.157
1932,Albacore tuna North Atlantic,F/Fmsy,0.131
1933,Albacore tuna North Atlantic,F/Fmsy,0.118
1934,Albacore tuna North Atlantic,F/Fmsy,0.196
1935,Albacore tuna North Atlantic,F/Fmsy,0.219
1936,Albacore tuna North Atlantic,F/Fmsy,0.179
1937,Albacore tuna North Atlantic,F/Fmsy,0.146
1938,Albacore tuna North Atlantic,F/Fmsy,0.158
1939,Albacore tuna North Atlantic,F/Fmsy,0.187
1940,Albacore tuna North Atlantic,F/Fmsy,0.127
1941,Albacore tuna North Atlantic,F/Fmsy,0.146
1942,Albacore tuna North Atlantic,F/Fmsy,0.186
1943,Albacore tuna North Atlantic,F/Fmsy,0.187
1944,Albacore tuna North Atlantic,F/Fmsy,0.191
1945,Albacore tuna North Atlantic,F/Fmsy,0.312
1946,Albacore tuna North Atlantic,F/Fmsy,0.268
1947,Albacore tuna North Atlantic,F/Fmsy,0.236
1948,Albacore tuna North Atlantic,F/Fmsy,0.282
1949,Albacore tuna North Atlantic,F/Fmsy,0.33
1950,Albacore tuna North Atlantic,F/Fmsy,0.475
1951,Albacore tuna North Atlantic,F/Fmsy,0.421
1952,Albacore tuna North Atlantic,F/Fmsy,0.407
1953,Albacore tuna North Atlantic,F/Fmsy,0.384
1954,Albacore tuna North Atlantic,F/Fmsy,0.516
1955,Albacore tuna North Atlantic,F/Fmsy,0.415
1956,Albacore tuna North Atlantic,F/Fmsy,0.547
1957,Albacore tuna North Atlantic,F/Fmsy,0.577
1958,Albacore tuna North Atlantic,F/Fmsy,0.735
1959,Albacore tuna North Atlantic,F/Fmsy,0.725
1960,Albacore tuna North Atlantic,F/Fmsy,0.793
1961,Albacore tuna North Atlantic,F/Fmsy,0.663
1962,Albacore tuna North Atlantic,F/Fmsy,0.931
1963,Albacore tuna North Atlantic,F/Fmsy,0.996
1964,Albacore tuna North Atlantic,F/Fmsy,1.11
1965,Albacore tuna North Atlantic,F/Fmsy,1.1
1966,Albacore tuna North Atlantic,F/Fmsy,0.898
1967,Albacore tuna North Atlantic,F/Fmsy,1.15
1968,Albacore tuna North Atlantic,F/Fmsy,0.914
1969,Albacore tuna North Atlantic,F/Fmsy,0.963
1970,Albacore tuna North Atlantic,F/Fmsy,0.965
1971,Albacore tuna North Atlantic,F/Fmsy,1.22
1972,Albacore tuna North Atlantic,F/Fmsy,1.09
1973,Albacore tuna North Atlantic,F/Fmsy,1.05
1974,Albacore tuna North Atlantic,F/Fmsy,1.16
1975,Albacore tuna North Atlantic,F/Fmsy,1
1976,Albacore tuna North Atlantic,F/Fmsy,1.39
1977,Albacore tuna North Atlantic,F/Fmsy,1.37
1978,Albacore tuna North Atlantic,F/Fmsy,1.32
1979,Albacore tuna North Atlantic,F/Fmsy,1.4
1980,Albacore tuna North Atlantic,F/Fmsy,1.09
1981,Albacore tuna North Atlantic,F/Fmsy,0.976
1982,Albacore tuna North Atlantic,F/Fmsy,1.2
1983,Albacore tuna North Atlantic,F/Fmsy,1.47
1984,Albacore tuna North Atlantic,F/Fmsy,1.24
1985,Albacore tuna North Atlantic,F/Fmsy,1.22
1986,Albacore tuna North Atlantic,F/Fmsy,1.44
1987,Albacore tuna North Atlantic,F/Fmsy,1.19
1988,Albacore tuna North Atlantic,F/Fmsy,1.04
1989,Albacore tuna North Atlantic,F/Fmsy,0.998
1990,Albacore tuna North Atlantic,F/Fmsy,1.14
1991,Albacore tuna North Atlantic,F/Fmsy,0.861
1992,Albacore tuna North Atlantic,F/Fmsy,0.926
1993,Albacore tuna North Atlantic,F/Fmsy,1.13
1994,Albacore tuna North Atlantic,F/Fmsy,1.04
1995,Albacore tuna North Atlantic,F/Fmsy,1.14
1996,Albacore tuna North Atlantic,F/Fmsy,0.858
1997,Albacore tuna North Atlantic,F/Fmsy,0.85
1998,Albacore tuna North Atlantic,F/Fmsy,0.74
1999,Albacore tuna North Atlantic,F/Fmsy,0.969
2000,Albacore tuna North Atlantic,F/Fmsy,0.925
2001,Albacore tuna North Atlantic,F/Fmsy,0.728
2002,Albacore tuna North Atlantic,F/Fmsy,0.615
2003,Albacore tuna North Atlantic,F/Fmsy,0.67
2004,Albacore tuna North Atlantic,F/Fmsy,0.663
2005,Albacore tuna North Atlantic,F/Fmsy,0.881
2006,Albacore tuna North Atlantic,F/Fmsy,0.92
2007,Albacore tuna North Atlantic,F/Fmsy,0.547
2008,Albacore tuna North Atlantic,F/Fmsy,0.493
2009,Albacore tuna North Atlantic,F/Fmsy,0.357
2010,Albacore tuna North Atlantic,F/Fmsy,0.436
2011,Albacore tuna North Atlantic,F/Fmsy,0.432
2012,Albacore tuna North Atlantic,F/Fmsy,0.538
2013,Albacore tuna North Atlantic,F/Fmsy,0.507
2014,Albacore tuna North Atlantic,F/Fmsy,0.538
1982,American lobster Gulf of Maine,B/Bmsy,0.396
1983,American lobster Gulf of Maine,B/Bmsy,0.274666667
1984,American lobster Gulf of Maine,B/Bmsy,0.244666667
1985,American lobster Gulf of Maine,B/Bmsy,0.294666667
1986,American lobster Gulf of Maine,B/Bmsy,0.246666667
1987,American lobster Gulf of Maine,B/Bmsy,0.228
1988,American lobster Gulf of Maine,B/Bmsy,0.259333333
1989,American lobster Gulf of Maine,B/Bmsy,0.316666667
1990,American lobster Gulf of Maine,B/Bmsy,0.320666667
1991,American lobster Gulf of Maine,B/Bmsy,0.317333333
1992,American lobster Gulf of Maine,B/Bmsy,0.357333333
1993,American lobster Gulf of Maine,B/Bmsy,0.333333333
1994,American lobster Gulf of Maine,B/Bmsy,0.383333333
1995,American lobster Gulf of Maine,B/Bmsy,0.393333333
1996,American lobster Gulf of Maine,B/Bmsy,0.377333333
1997,American lobster Gulf of Maine,B/Bmsy,0.412666667
1998,American lobster Gulf of Maine,B/Bmsy,0.458
1999,American lobster Gulf of Maine,B/Bmsy,0.464666667
2000,American lobster Gulf of Maine,B/Bmsy,0.480666667
2001,American lobster Gulf of Maine,B/Bmsy,0.460666667
2002,American lobster Gulf of Maine,B/Bmsy,0.512666667
2003,American lobster Gulf of Maine,B/Bmsy,0.566
2004,American lobster Gulf of Maine,B/Bmsy,0.622
2005,American lobster Gulf of Maine,B/Bmsy,0.638666667
2006,American lobster Gulf of Maine,B/Bmsy,0.629333333
2007,American lobster Gulf of Maine,B/Bmsy,0.580666667
1982,American lobster Gulf of Maine,F/Fmsy,NA
1983,American lobster Gulf of Maine,F/Fmsy,NA
1984,American lobster Gulf of Maine,F/Fmsy,NA
1985,American lobster Gulf of Maine,F/Fmsy,NA
1986,American lobster Gulf of Maine,F/Fmsy,NA
1987,American lobster Gulf of Maine,F/Fmsy,NA
1988,American lobster Gulf of Maine,F/Fmsy,NA
1989,American lobster Gulf of Maine,F/Fmsy,NA
1990,American lobster Gulf of Maine,F/Fmsy,NA
1991,American lobster Gulf of Maine,F/Fmsy,NA
1992,American lobster Gulf of Maine,F/Fmsy,NA
1993,American lobster Gulf of Maine,F/Fmsy,NA
1994,American lobster Gulf of Maine,F/Fmsy,NA
1995,American lobster Gulf of Maine,F/Fmsy,NA
1996,American lobster Gulf of Maine,F/Fmsy,NA
1997,American lobster Gulf of Maine,F/Fmsy,NA
1998,American lobster Gulf of Maine,F/Fmsy,NA
1999,American lobster Gulf of Maine,F/Fmsy,NA
2000,American lobster Gulf of Maine,F/Fmsy,NA
2001,American lobster Gulf of Maine,F/Fmsy,NA
2002,American lobster Gulf of Maine,F/Fmsy,NA
2003,American lobster Gulf of Maine,F/Fmsy,NA
2004,American lobster Gulf of Maine,F/Fmsy,NA
2005,American lobster Gulf of Maine,F/Fmsy,NA
2006,American lobster Gulf of Maine,F/Fmsy,NA
2007,American lobster Gulf of Maine,F/Fmsy,NA
2008,American plaice - Gulf of Maine / Georges Bank,F/Fmsy,0.474000006914139
2012,American plaice - Gulf of Maine / Georges Bank,F/Fmsy,0.722000002861023
2015,American plaice - Gulf of Maine / Georges Bank,F/Fmsy,0.589999973773956
2017,American plaice - Gulf of Maine / Georges Bank,F/Fmsy,0.504999995231628
2005,American plaice - Gulf of Maine / Georges Bank,B/Bmsy,0.5
2008,American plaice - Gulf of Maine / Georges Bank,B/Bmsy,0.505999982357025
2012,American plaice - Gulf of Maine / Georges Bank,B/Bmsy,0.587000012397766
2015,American plaice - Gulf of Maine / Georges Bank,B/Bmsy,0.839999973773956
2017,American plaice - Gulf of Maine / Georges Bank,B/Bmsy,0.989000022411346
2013,Atlantic cod - Eastern Georges Bank,F/Fmsy,0.635999977588654
2014,Atlantic cod - Eastern Georges Bank,F/Fmsy,0.363999992609024
2015,Atlantic cod - Eastern Georges Bank,F/Fmsy,0.363999992609024
2016,Atlantic cod - Eastern Georges Bank,F/Fmsy,0.455000013113022
2017,Atlantic cod - Eastern Georges Bank,F/Fmsy,0.455000013113022
2005,Atlantic cod - Georges Bank,F/Fmsy,1.33299994468689
2008,Atlantic cod - Georges Bank,F/Fmsy,1.20000004768372
2012,Atlantic cod - Georges Bank,F/Fmsy,1.95700001716614
2013,Atlantic cod - Georges Bank,F/Fmsy,2.38899993896484
2005,Atlantic cod - Georges Bank,B/Bmsy,0.104000002145767
2008,Atlantic cod - Georges Bank,B/Bmsy,0.119000002741814
2012,Atlantic cod - Georges Bank,B/Bmsy,0.0799999982118607
2013,Atlantic cod - Georges Bank,B/Bmsy,0.0710000023245811
2005,Atlantic cod - Gulf of Maine,F/Fmsy,2.79999995231628
2008,Atlantic cod - Gulf of Maine,F/Fmsy,1.89999997615814
2012,Atlantic cod - Gulf of Maine,F/Fmsy,5.69999980926514
2005,Atlantic cod - Gulf of Maine,B/Bmsy,0.226999998092651
2008,Atlantic cod - Gulf of Maine,B/Bmsy,0.582000017166138
2012,Atlantic cod - Gulf of Maine,B/Bmsy,0.194000005722046
1973,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,0.456242223
1974,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,0.456242223
1975,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,0.736209042
1976,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,1.323793723
1977,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,1.562283976
1978,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,1.379095811
1979,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,1.040370524
1980,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,0.774229227
1981,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,0.642886769
1982,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,0.532282594
1983,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,0.404396516
1984,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,0.964330153
1985,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,1.306511821
1986,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,1.697082815
1987,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,1.983962395
1988,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,2.205170745
1989,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,2.149868658
1990,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,2.077284667
1991,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,1.973593253
1992,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,2.533526891
1993,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,2.865339417
1994,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,3.110742431
1995,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,3.25245403
1996,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,3.342319923
1997,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,3.096916909
1998,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,2.82040647
1999,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,2.917185124
2000,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,3.145306235
2001,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,3.069265865
2002,Atlantic croaker Mid-Atlantic Coast,B/Bmsy,2.775473524
1973,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.435897436
1974,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.717948718
1975,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.692307692
1976,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.564102564
1977,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.692307692
1978,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.846153846
1979,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,1.282051282
1980,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,1.051282051
1981,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.717948718
1982,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.897435897
1983,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.58974359
1984,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.384615385
1985,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.307692308
1986,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.230769231
1987,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.205128205
1988,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.230769231
1989,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.153846154
1990,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.128205128
1991,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.102564103
1992,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.076923077
1993,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.102564103
1994,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.128205128
1995,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.153846154
1996,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.153846154
1997,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.256410256
1998,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.256410256
1999,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.230769231
2000,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.230769231
2001,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.282051282
2002,Atlantic croaker Mid-Atlantic Coast,F/Fmsy,0.282051282
2008,Atlantic halibut - Northwestern Atlantic Coast,F/Fmsy,0.929000020027161
2012,Atlantic halibut - Northwestern Atlantic Coast,F/Fmsy,0.437999993562698
2005,Atlantic halibut - Northwestern Atlantic Coast,B/Bmsy,0.0500000007450581
2008,Atlantic halibut - Northwestern Atlantic Coast,B/Bmsy,0.0270000007003546
2012,Atlantic halibut - Northwestern Atlantic Coast,B/Bmsy,0.034000001847744
2006,Atlantic herring - Northwestern Atlantic Coast,F/Fmsy,0.349999994039536
2009,Atlantic herring - Northwestern Atlantic Coast,F/Fmsy,0.518999993801117
2012,Atlantic herring - Northwestern Atlantic Coast,F/Fmsy,0.518999993801117
2015,Atlantic herring - Northwestern Atlantic Coast,F/Fmsy,0.666999995708466
2018,Atlantic herring - Northwestern Atlantic Coast,F/Fmsy,0.882000029087067
2006,Atlantic herring - Northwestern Atlantic Coast,B/Bmsy,1.64999997615814
2009,Atlantic herring - Northwestern Atlantic Coast,B/Bmsy,0.972000002861023
2012,Atlantic herring - Northwestern Atlantic Coast,B/Bmsy,3.29900002479553
2015,Atlantic herring - Northwestern Atlantic Coast,B/Bmsy,2.00200009346008
2018,Atlantic herring - Northwestern Atlantic Coast,B/Bmsy,0.749000012874603
2018,Atlantic mackerel - Gulf of Maine / Cape Hatteras,F/Fmsy,1.80799996852875
2005,Atlantic mackerel - Gulf of Maine / Cape Hatteras,B/Bmsy,3.5699999332428
2018,Atlantic mackerel - Gulf of Maine / Cape Hatteras,B/Bmsy,0.221000000834465
1955,Atlantic menhaden Atlantic,B/Bmsy,1.115276382
1956,Atlantic menhaden Atlantic,B/Bmsy,0.76759799
1957,Atlantic menhaden Atlantic,B/Bmsy,0.450693467
1958,Atlantic menhaden Atlantic,B/Bmsy,0.535949749
1959,Atlantic menhaden Atlantic,B/Bmsy,0.497085427
1960,Atlantic menhaden Atlantic,B/Bmsy,0.884492462
1961,Atlantic menhaden Atlantic,B/Bmsy,1.512090452
1962,Atlantic menhaden Atlantic,B/Bmsy,1.128351759
1963,Atlantic menhaden Atlantic,B/Bmsy,0.610251256
1964,Atlantic menhaden Atlantic,B/Bmsy,0.490160804
1965,Atlantic menhaden Atlantic,B/Bmsy,0.461658291
1966,Atlantic menhaden Atlantic,B/Bmsy,0.395125628
1967,Atlantic menhaden Atlantic,B/Bmsy,0.424914573
1968,Atlantic menhaden Atlantic,B/Bmsy,0.722452261
1969,Atlantic menhaden Atlantic,B/Bmsy,0.631356784
1970,Atlantic menhaden Atlantic,B/Bmsy,0.847517588
1971,Atlantic menhaden Atlantic,B/Bmsy,1.115236181
1972,Atlantic menhaden Atlantic,B/Bmsy,1.029407035
1973,Atlantic menhaden Atlantic,B/Bmsy,0.613577889
1974,Atlantic menhaden Atlantic,B/Bmsy,0.574854271
1975,Atlantic menhaden Atlantic,B/Bmsy,0.487567839
1976,Atlantic menhaden Atlantic,B/Bmsy,0.393839196
1977,Atlantic menhaden Atlantic,B/Bmsy,0.389155779
1978,Atlantic menhaden Atlantic,B/Bmsy,0.427708543
1979,Atlantic menhaden Atlantic,B/Bmsy,0.499346734
1980,Atlantic menhaden Atlantic,B/Bmsy,0.51680402
1981,Atlantic menhaden Atlantic,B/Bmsy,0.390532663
1982,Atlantic menhaden Atlantic,B/Bmsy,0.414713568
1983,Atlantic menhaden Atlantic,B/Bmsy,0.449728643
1984,Atlantic menhaden Atlantic,B/Bmsy,0.370532663
1985,Atlantic menhaden Atlantic,B/Bmsy,0.346653266
1986,Atlantic menhaden Atlantic,B/Bmsy,0.407366834
1987,Atlantic menhaden Atlantic,B/Bmsy,0.613145729
1988,Atlantic menhaden Atlantic,B/Bmsy,0.653005025
1989,Atlantic menhaden Atlantic,B/Bmsy,0.549678392
1990,Atlantic menhaden Atlantic,B/Bmsy,0.585005025
1991,Atlantic menhaden Atlantic,B/Bmsy,0.692592965
1992,Atlantic menhaden Atlantic,B/Bmsy,0.590201005
1993,Atlantic menhaden Atlantic,B/Bmsy,0.650271357
1994,Atlantic menhaden Atlantic,B/Bmsy,0.558442211
1995,Atlantic menhaden Atlantic,B/Bmsy,0.57161809
1996,Atlantic menhaden Atlantic,B/Bmsy,0.441356784
1997,Atlantic menhaden Atlantic,B/Bmsy,0.398944724
1998,Atlantic menhaden Atlantic,B/Bmsy,0.275427136
1999,Atlantic menhaden Atlantic,B/Bmsy,0.324633166
2000,Atlantic menhaden Atlantic,B/Bmsy,0.455507538
2001,Atlantic menhaden Atlantic,B/Bmsy,0.672522613
2002,Atlantic menhaden Atlantic,B/Bmsy,0.597437186
2003,Atlantic menhaden Atlantic,B/Bmsy,0.501015075
2004,Atlantic menhaden Atlantic,B/Bmsy,0.552944724
2005,Atlantic menhaden Atlantic,B/Bmsy,0.567497487
2006,Atlantic menhaden Atlantic,B/Bmsy,0.550603015
2007,Atlantic menhaden Atlantic,B/Bmsy,0.837035176
2008,Atlantic menhaden Atlantic,B/Bmsy,0.91521608
2009,Atlantic menhaden Atlantic,B/Bmsy,0.913015075
2010,Atlantic menhaden Atlantic,B/Bmsy,0.846532663
2011,Atlantic menhaden Atlantic,B/Bmsy,0.861829146
2012,Atlantic menhaden Atlantic,B/Bmsy,1.019145729
2013,Atlantic menhaden Atlantic,B/Bmsy,0.995386935
2014,Atlantic menhaden Atlantic,B/Bmsy,0.96801005
2015,Atlantic menhaden Atlantic,B/Bmsy,0.876603015
2016,Atlantic menhaden Atlantic,B/Bmsy,0.839045226
1955,Atlantic menhaden Atlantic,F/Fmsy,2.697150496
1956,Atlantic menhaden Atlantic,F/Fmsy,8.848267161
1957,Atlantic menhaden Atlantic,F/Fmsy,7.035059423
1958,Atlantic menhaden Atlantic,F/Fmsy,3.011621698
1959,Atlantic menhaden Atlantic,F/Fmsy,4.519993753
1960,Atlantic menhaden Atlantic,F/Fmsy,1.223344191
1961,Atlantic menhaden Atlantic,F/Fmsy,0.91227304
1962,Atlantic menhaden Atlantic,F/Fmsy,1.787540096
1963,Atlantic menhaden Atlantic,F/Fmsy,2.184689363
1964,Atlantic menhaden Atlantic,F/Fmsy,1.37040766
1965,Atlantic menhaden Atlantic,F/Fmsy,1.658690126
1966,Atlantic menhaden Atlantic,F/Fmsy,0.892271773
1967,Atlantic menhaden Atlantic,F/Fmsy,0.777452511
1968,Atlantic menhaden Atlantic,F/Fmsy,0.81409285
1969,Atlantic menhaden Atlantic,F/Fmsy,0.552778734
1970,Atlantic menhaden Atlantic,F/Fmsy,0.682389701
1971,Atlantic menhaden Atlantic,F/Fmsy,0.67204106
1972,Atlantic menhaden Atlantic,F/Fmsy,1.613176838
1973,Atlantic menhaden Atlantic,F/Fmsy,1.821550876
1974,Atlantic menhaden Atlantic,F/Fmsy,1.451513524
1975,Atlantic menhaden Atlantic,F/Fmsy,1.080231539
1976,Atlantic menhaden Atlantic,F/Fmsy,1.24864519
1977,Atlantic menhaden Atlantic,F/Fmsy,0.780207273
1978,Atlantic menhaden Atlantic,F/Fmsy,0.760676609
1979,Atlantic menhaden Atlantic,F/Fmsy,0.788129128
1980,Atlantic menhaden Atlantic,F/Fmsy,1.202528381
1981,Atlantic menhaden Atlantic,F/Fmsy,1.066896615
1982,Atlantic menhaden Atlantic,F/Fmsy,0.886886259
1983,Atlantic menhaden Atlantic,F/Fmsy,0.966726851
1984,Atlantic menhaden Atlantic,F/Fmsy,1.116757656
1985,Atlantic menhaden Atlantic,F/Fmsy,1.511524413
1986,Atlantic menhaden Atlantic,F/Fmsy,0.50982134
1987,Atlantic menhaden Atlantic,F/Fmsy,0.631609631
1988,Atlantic menhaden Atlantic,F/Fmsy,0.906682601
1989,Atlantic menhaden Atlantic,F/Fmsy,1.703822489
